,Year,Age,Female,Male,Total
410,1765-1769,77,0.11392999999999999,0.119477,0.11611099999999999
411,1765-1769,78,0.122698,0.127649,0.124645
412,1765-1769,79,0.136996,0.140102,0.138215
413,1765-1769,80,0.144932,0.15173599999999998,0.14752
414,1765-1769,81,0.164981,0.17039300000000002,0.16702999999999998
415,1765-1769,82,0.185112,0.189832,0.186893
416,1765-1769,83,0.203199,0.208709,0.205273
417,1765-1769,84,0.21510500000000002,0.22362100000000001,0.218306
418,1765-1769,85,0.21673699999999999,0.23103200000000002,0.222109
419,1765-1769,86,0.21413400000000002,0.236062,0.22235300000000002
420,1765-1769,87,0.21103200000000003,0.24240799999999998,0.2227
421,1765-1769,88,0.209826,0.251824,0.22523400000000002
422,1765-1769,89,0.21373000000000003,0.26718200000000003,0.232931
423,1765-1769,90,0.265669,0.28668000000000005,0.27308499999999997
424,1765-1769,91,0.276645,0.298208,0.284202
425,1765-1769,92,0.287489,0.309263,0.295065
426,1765-1769,93,0.29796300000000003,0.320187,0.305631
427,1765-1769,94,0.308025,0.331497,0.316039
428,1765-1769,95,0.317632,0.343377,0.3263
429,1765-1769,96,0.32642600000000005,0.357558,0.33670700000000003
430,1765-1769,97,0.335673,0.376161,0.34867600000000004
431,1765-1769,98,0.347851,0.403289,0.36501300000000003
432,1765-1769,99,0.36441,0.44065699999999997,0.387004
433,1765-1769,100,0.39179400000000003,0.513462,0.425358
434,1765-1769,101,0.451917,0.686491,0.506452
435,1765-1769,102,0.574987,0.812183,0.615252
436,1765-1769,103,0.6502819999999999,2.323944,0.740854
437,1765-1769,104,0.9865229999999999,,0.9865229999999999
438,1765-1769,105,0.0,,0.0
439,1765-1769,106,,,
440,1765-1769,107,,,
441,1765-1769,108,,,
442,1765-1769,109,,,
443,1765-1769,110,,,
444,1770-1774,0,0.23936500000000002,0.261727,0.250701
445,1770-1774,1,0.082526,0.086741,0.084621
446,1770-1774,2,0.049306,0.052101999999999996,0.050691
447,1770-1774,3,0.035091000000000004,0.037232,0.036149
448,1770-1774,4,0.033983,0.03575,0.034862
449,1770-1774,5,0.031163999999999997,0.032912000000000004,0.03204
450,1770-1774,6,0.022693,0.024775,0.023733
451,1770-1774,7,0.016477000000000002,0.018739,0.017603999999999998
452,1770-1774,8,0.012403,0.014771000000000001,0.013581000000000001
453,1770-1774,9,0.010348,0.012811000000000001,0.011571
454,1770-1774,10,0.009845999999999999,0.012415,0.011118000000000001
455,1770-1774,11,0.010192,0.012792,0.011479999999999999
456,1770-1774,12,0.010459,0.012903999999999999,0.011672
457,1770-1774,13,0.010642,0.012703,0.011669
458,1770-1774,14,0.010708,0.01212,0.011417
459,1770-1774,15,0.010657999999999999,0.011225,0.010945
460,1770-1774,16,0.010104,0.010337,0.010221
461,1770-1774,17,0.009687999999999999,0.009876000000000001,0.009781999999999999
462,1770-1774,18,0.009420999999999999,0.009859,0.009637
463,1770-1774,19,0.009319,0.010317,0.009803000000000001
464,1770-1774,20,0.009352,0.011165000000000001,0.010216
465,1770-1774,21,0.009901,0.012223999999999999,0.011008
466,1770-1774,22,0.01043,0.013156000000000001,0.011729
467,1770-1774,23,0.010912999999999999,0.013924,0.012348999999999999
468,1770-1774,24,0.011359999999999999,0.014523,0.012868000000000001
469,1770-1774,25,0.011833,0.015016,0.013350999999999998
470,1770-1774,26,0.011921,0.014922999999999999,0.013349000000000001
471,1770-1774,27,0.012218999999999999,0.014909,0.013498
472,1770-1774,28,0.012703,0.014947,0.01377
473,1770-1774,29,0.013331,0.015016,0.014131999999999999
474,1770-1774,30,0.013982,0.015081,0.014505
475,1770-1774,31,0.015038999999999999,0.015880000000000002,0.015437000000000001
476,1770-1774,32,0.015768,0.016557,0.01614
477,1770-1774,33,0.016122,0.017058,0.016562999999999998
478,1770-1774,34,0.016028,0.017292,0.016622
479,1770-1774,35,0.015596,0.017328,0.016412
480,1770-1774,36,0.014775,0.016611,0.015647
481,1770-1774,37,0.014577000000000001,0.016366,0.015432
482,1770-1774,38,0.015000999999999999,0.016600999999999998,0.01577
483,1770-1774,39,0.016078,0.017342,0.016687
484,1770-1774,40,0.017602,0.018419,0.017997
485,1770-1774,41,0.019871,0.020817,0.020325
486,1770-1774,42,0.02166,0.022943,0.022269999999999998
487,1770-1774,43,0.022864,0.024722,0.023738
488,1770-1774,44,0.023308000000000002,0.02599,0.024557
489,1770-1774,45,0.023073,0.026786,0.024782
490,1770-1774,46,0.021731999999999998,0.025606,0.023516
491,1770-1774,47,0.021188,0.025165,0.023023
492,1770-1774,48,0.021467,0.025465,0.023316999999999997
493,1770-1774,49,0.022609,0.026585,0.024456
494,1770-1774,50,0.024352000000000002,0.028288,0.026186
495,1770-1774,51,0.027433,0.03203,0.029564
496,1770-1774,52,0.029985,0.035441,0.032494
497,1770-1774,53,0.03184,0.038331,0.034792000000000003
498,1770-1774,54,0.032728,0.040247000000000005,0.036106
499,1770-1774,55,0.032756,0.041072000000000004,0.036451
